Year,Month,Min Avg Temperature (°C),Max Avg Temperature (°C),Min Avg Air Humidity (%),Max Avg Air Humidity (%),Precipitation (mm)
2022,9,16.48,30.76,33.44,80.34,107.19
2022,10,18.90,32.16,35.11,87.07,72.39
2022,11,17.83,32.19,30.69,81.20,66.80
2022,12,20.58,31.23,45.85,91.39,491.95
2023,1,20.47,30.56,52.95,93.09,209.28
2023,2,20.90,31.65,48.61,93.51,230.38
2023,3,20.34,32.49,44.27,92.90,267.96
2023,4,18.36,30.21,46.42,92.75,107.67
2023,5,14.51,29.15,33.86,89.59,21.84
2023,6,13.06,27.09,37.72,88.80,54.35
2023,7,13.98,29.90,27.20,82.58,7.62
2023,8,16.49,32.00,27.59,80.81,31.50
2023,9,19.37,34.69,28.83,81.09,54.36
2023,10,21.65,34.38,39.04,86.90,129.28
2023,11,21.07,34.97,34.32,84.67,208.53
2023,12,21.74,35.69,35.11,89.30,69.59
2024,1,21.07,33.19,42.42,91.65,215.17
2024,2,21.42,33.20,43.28,92.20,191.22
2024,3,21.96,33.58,44.16,91.78,138.92
2024,4,20.98,32.77,42.25,90.15,33.77
2024,5,17.61,31.17,34.47,84.16,0.76
2024,6,16.39,31.57,24.46,75.57,0.00
